sex_cd,age,marriage_status_cd,edu_degree_cd,province,acct_age,ab_local_line_limit,bill_period,ab_open_bal,overdue_total_principal,ab_due_cyc00,ab_due_cyc01,due_cyc01_principal_ratio,due_cyc01_open_bal_ratio,max_age,m1_cnt,m2_cnt,max_delaydays,less5_delay_times,more20_delay_times,sleep_days,more16_sleep_days,average_increment,average_increment_ratio,avg_openbal_increment,avg_openbal_increment_ratio,delaydays_increment,avg_outbound_increment,prev5_cnt,prev4_cnt,prev3_cnt,prev2_cnt,prev1_cnt,prev0_cnt,prev5_max,prev4_max,prev3_max,prev2_max,prev1_max,prev0_max,prev5_min,prev4_min,prev3_min,prev2_min,prev1_min,prev0_min,prev5_maxp,prev4_maxp,prev3_maxp,prev2_maxp,prev1_maxp,prev0_maxp,prev5_minp,prev4_minp,prev3_minp,prev2_minp,prev1_minp,prev0_minp,prev5_eachmonth,prev4_eachmonth,prev3_eachmonth,prev2_eachmonth,prev1_eachmonth,prev0_eachmonth,prev5_transum,prev4_transum,prev3_transum,prev2_transum,prev1_transum,prev0_transum,prev5_trancnt,prev4_trancnt,prev3_trancnt,prev2_trancnt,prev1_trancnt,prev0_trancnt,prev5_total_expend,prev4_total_expend,prev3_total_expend,prev2_total_expend,prev1_total_expend,prev0_total_expend,prev5_total_expend_local_ratio,prev4_total_expend_local_ratio,prev3_total_expend_local_ratio,prev2_total_expend_local_ratio,prev1_total_expend_local_ratio,prev0_total_expend_local_ratio,prev5_total_cash,prev4_total_cash,prev3_total_cash,prev2_total_cash,prev1_total_cash,prev0_total_cash,prev5_total_cash_local_ratio,prev4_total_cash_local_ratio,prev3_total_cash_local_ratio,prev2_total_cash_local_ratio,prev1_total_cash_local_ratio,prev0_total_cash_local_ratio,consume_only_cnt5,consume_only_cnt4,consume_only_cnt3,consume_only_cnt2,consume_only_cnt1,consume_only_cnt0,consume_sum5,consume_sum4,consume_sum3,consume_sum2,consume_sum1,consume_sum0,consume_limit_ratio5,consume_limit_ratio4,consume_limit_ratio3,consume_limit_ratio2,consume_limit_ratio1,consume_limit_ratio0,consume_offline_only_cnt5,consume_offline_only_cnt4,consume_offline_only_cnt3,consume_offline_only_cnt2,consume_offline_only_cnt1,consume_offline_only_cnt0,consume_offline_sum5,consume_offline_sum4,consume_offline_sum3,consume_offline_sum2,consume_offline_sum1,consume_offline_sum0,consume_online_only_cnt5,consume_online_only_cnt4,consume_online_only_cnt3,consume_online_only_cnt2,consume_online_only_cnt1,consume_online_only_cnt0,consume_online_sum5,consume_online_sum4,consume_online_sum3,consume_online_sum2,consume_online_sum1,consume_online_sum0,prev5_cash_cnt,prev4_cash_cnt,prev3_cash_cnt,prev2_cash_cnt,prev1_cash_cnt,prev0_cash_cnt,prev5_cash_sum,prev4_cash_sum,prev3_cash_sum,prev2_cash_sum,prev1_cash_sum,prev0_cash_sum,cash_limit_ratio5,cash_limit_ratio4,cash_limit_ratio3,cash_limit_ratio2,cash_limit_ratio1,cash_limit_ratio0,age6,age5,age4,age3,age2,age1,overdue_6,overdue_5,overdue_4,overdue_3,overdue_2,overdue_1,total_limit_ratio6,total_limit_ratio5,total_limit_ratio4,total_limit_ratio3,total_limit_ratio2,total_limit_ratio1,delaydays6,delaydays5,delaydays4,delaydays3,delaydays2,delaydays1,remaindays6,remaindays5,remaindays4,remaindays3,remaindays2,remaindays1,last6_dt_week,last5_dt_week,last4_dt_week,last3_dt_week,last2_dt_week,last1_dt_week,repay_sum6,repay_sum5,repay_sum4,repay_sum3,repay_sum2,repay_sum1,repay_min_ratio6,repay_min_ratio5,repay_min_ratio4,repay_min_ratio3,repay_min_ratio2,repay_min_ratio1,repay_open_ratio6,repay_open_ratio5,repay_open_ratio4,repay_open_ratio3,repay_open_ratio2,repay_open_ratio1,prev5_outbound,prev4_outbound,prev3_outbound,prev2_outbound,prev1_outbound,prev0_outbound,prev5_outbound_succeed,prev4_outbound_succeed,prev3_outbound_succeed,prev2_outbound_succeed,prev1_outbound_succeed,prev0_outbound_succeed,prev5_outbound_fail,prev4_outbound_fail,prev3_outbound_fail,prev2_outbound_fail,prev1_outbound_fail,prev0_outbound_fail,prev5_outbound_days,prev4_outbound_days,prev3_outbound_days,prev2_outbound_days,prev1_outbound_days,prev0_outbound_days,prev5_outbound_succeed_days,prev4_outbound_succeed_days,prev3_outbound_succeed_days,prev2_outbound_succeed_days,prev1_outbound_succeed_days,prev0_outbound_succeed_days,prev5_outbound_fail_days,prev4_outbound_fail_days,prev3_outbound_fail_days,prev2_outbound_fail_days,prev1_outbound_fail_days,prev0_outbound_fail_days,due_cyc01_rt,bal_rt,overdue_days_rt,remain_days_rt,week_cd_rt,acc_repay_days,acc_repay_amt,acc_repay_amt_open_bal_ratio,acc_repay_amt_due_cyc00_ratio,acc_repay_amt_due_cyc01_ratio,repay_5_flag,acc_consume_days,acc_consume_amt,acc_consume_amt_local_line_ratio,consume_5_flag,action_day0_rt,action_day1_rt,action_day2_rt,action_day3_rt,action_day4_rt,action_day5_rt,action_day6_rt,action_day7_rt,action_day8_rt,action_day9_rt,action_day10_rt,action_day11_rt,action_day12_rt,action_day13_rt,action_day14_rt,action_day15_rt,action_day16_rt,action_day17_rt,action_day18_rt,action_day19_rt,action_day20_rt,action_day21_rt,action_day22_rt,action_day23_rt,action_day24_rt,action_day25_rt,action_day26_rt,action_day27_rt,action_day28_rt,action_day29_rt,action_day30_rt
0,43,2,3,4,3.1,12000,0,4481.8,10130.4,1558.25,2923.55,0.2886,0.6523,1,1,0,6,5,0,70,1,-886.4166667,-1.01923485,562.43,0.2064704,2,0,0,1,0,1,1,0,0,4439.69,0,1366.44,1187.09,0,0,4439.69,0,1366.44,1187.09,0,0,12,0,12,12,0,0,12,0,12,12,0,0,369,0,113,98,0,1186,1197.69,1555,1279.44,0,0,7,8,8,8,0,0,6758.8,1345.31,2916.44,2425.03,0,0,0.67588,0.134531,0.291644,0.242503,0,0,1186,1197.69,1555,1279.44,0,0,0.1186,0.119769,0.1555,0.127944,0,0,54,11,53,59,0,0,5572.8,147.62,1361.44,1145.59,0,0,0.55728,0.014762,0.136144,0.114559,0,0,1,8,25,41,0,0,2,42,126.3,199.91,0,0,53,3,28,18,0,0,5570.8,105.62,1235.14,945.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,7331.37,9999.32,9998.31,9650.44,9558.49,10243.68,0.733137,0.999932,0.999831,0.965044,0.955849,1.024368,0,0,0,0,0,6,30,30,28,30,30,25,0,0,0,0,0,2,3000,233.67,0,1825.54,0,0,3.92197876,0.16214022,0,1.27813874,0,0,3.61654932,0.05000042,0,0.66957893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2923.55,4481.8,9,21,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,2,2,3,11.2,86000,2,33700.91,93843.73,18932.4,14768.51,0.1574,0.4382,1,1,0,20,5,0,69,1,-7531.306667,-1.05900925,8247.71,0.2749081,6.666666667,0,1,1,1,0,1,1,13704.7,13037.13,4188.09,0,28124.82,6875.65,13704.7,13037.13,4188.09,0,28124.82,6875.65,12,12,12,0,12,12,12,12,12,0,12,12,1142,1086,349,0,2343,572,10854.7,10348.13,11429.09,10038,0,0,11,11,12,11,0,0,23807.23,14536.22,11429.09,37540.98,0,0,0.2705367,0.16518431,0.12987602,0.42660204,0,0,10854.7,10348.13,11429.09,10038,0,0,0.12334886,0.11759238,0.12987602,0.11406818,0,0,12,12,0,10,0,0,12952.53,4188.09,0,27502.98,0,0,0.14718784,0.04759193,0,0.31253386,0,0,2,1,0,3,0,0,12700,3999,0,27463,0,0,10,11,0,7,0,0,252.53,189.09,0,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,85858.06,87952.5,92225.22,92225.22,88534.44,92985.24,0.975659773,0.999460227,1.048013864,1.048013864,1.006073182,1.056650455,0,0,0,20,0,0,30,30,28,11,30,30,0,0,0,1,0,0,11752,0,0,36018,0,0,0.94495963,0,0,1.00001055,0,0,0.46165987,0,0,1.00001055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14768.51,33700.91,17,13,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63,2,4,4,3.2,30000,7,193.47,63,93.47,100,1.5873,0.5169,0,0,0,0,6,0,9,0,0,0,33.3333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,0,0,0.00069687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.3,0,0,0,0,0,0.00069687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,28,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,193.47,11,19,3,0,0,0,0,0,0,2,40.7,0.001271875,1,0,3,3,1,1,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,2,2,6,3.1,16000,3,12792.89,14976.6,1458.13,1958.21,0.1308,0.1531,1,3,0,25,4,1,16,0,-321.3333333,-1,1608.963333,0.1444136,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,482,482,482,0,0,3,3,3,3,0,0,482,10592,482,1347,0,800,0.03213333,0.70613333,0.03213333,0.0898,0,0.05333333,482,482,482,482,0,0,0.03213333,0.03213333,0.03213333,0.03213333,0,0,0,4,0,2,0,1,0,10110,0,865,0,800,0,0.674,0,0.05766666,0,0.05333333,0,4,0,1,0,1,0,10110,0,860,0,800,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,14945.88,14945.88,14868,14868,14925.33,14925.33,0.996392,0.996392,0.9912,0.9912,0.995022,0.995022,0,25,0,1,0,15,30,6,28,30,30,16,0,1,0,1,0,1,0,10573.86,0,1100,0,0,0,3.74456315,0,0.38033462,0,0,0,1,0,0.09615586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958.21,12792.89,28,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,1,3,3,1,3,3,1,1,3,1,1,3,1,1,3,1,3,3,3,3,1,3,3,0,0,0
0,36,1,2,4,3,22000,7,20515.31,19991.04,2587.1,1502.09,0.0751,0.0732,1,1,0,13,5,0,69,1,-140.6666667,-1,402.3666667,0.0207792,-4.333333333,-5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,211,211,211,0,0,1,1,1,1,0,0,3018.55,1311,1600.26,997.58,0,0,0.1509275,0.06555,0.080013,0.049879,0,0,211,211,211,211,0,0,0.01055,0.01055,0.01055,0.01055,0,0,13,1,7,11,0,0,2807.55,1100,1389.26,786.58,0,0,0.1403775,0.055,0.069463,0.039329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,11,0,0,2807.55,1100,1389.26,786.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,19997.63,19998.4,19961.11,19656.52,20000,19991.04,0.9998815,0.99992,0.9980555,0.982826,1,0.999552,13,0,0,0,0,0,18,30,28,30,30,30,1,0,0,0,0,0,3500,1450,2569,1437.13,0,0,1.01458686,1.00015174,1.7492493,1,0,0,0.18216026,0.07613502,0.13360043,0.07520866,0,0,16,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,1502.09,20515.31,4,26,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,2,0,4,11.5,58000,4,138.62,75.43,66.96,35.79,0.4745,0.2582,0,0,0,0,6,0,74,1,0,0,111.0733333,2.0061408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,75.6,0,0,0,0,0.00263157,0.00132631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,150,75.6,0,0,0,0,0.00263157,0.00132631,0,0,0,0,4,2,0,0,0,0,150,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,149.83,75.43,75.43,0,0,0,0.002628596,0.001323333,0.001323333,0,0,0,0,0,0,30,30,28,30,30,30,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,20.02670226,0,0,0,0,0,1.00113461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.79,138.62,3,27,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47,2,3,2,6.8,28000,7,16502.38,29999.53,6118.23,10384.15,0.3461,0.6293,0,0,0,0,6,0,80,1,-660.01,-0.37614444,-10369.18333,-0.674493,0,0,0,0,1,1,1,0,0,0,18847.03,3640,7268.06,0,0,0,18847.03,3640,7268.06,0,0,0,6,12,12,0,0,0,6,12,12,0,0,0,3141,303,605,0,2562,2562,1130.03,4274,0,0,2,2,2,3,0,0,22081,24912,4770.03,7050.06,0,0,0.78860714,0.88971428,0.17035821,0.25178785,0,0,2562,2562,1130.03,4274,0,0,0.0915,0.0915,0.04035821,0.15264285,0,0,1,1,1,3,0,0,19519,22350,3640,2776.06,0,0,0.69710714,0.79821428,0.13,0.099145,0,0,1,1,1,1,0,0,19519,22350,3640,2768,0,0,0,0,0,2,0,0,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,27344.29,27726,24275,27002.98,29999.53,29999.53,0.976581786,0.990214286,0.866964286,0.964392143,1.071411786,1.071411786,0,0,0,0,0,0,30,30,28,30,30,30,0,0,0,0,0,0,19572.25,25982.44,992,0,0,0,5.11596509,6.98567238,0.46344745,0,0,0,1,1.16709758,0.05000257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10384.15,16502.38,15,15,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,1,6,4,9,11000,10,11359.32,14997.94,1711.86,1730.7,0.1154,0.1524,1,2,0,18,4,0,3,0,-107.6833333,-0.42254994,3201.526667,1.2212187,9.666666667,0,1,0,1,0,0,0,5500,0,1746.05,0,0,0,5500,0,1746.05,0,0,0,12,0,12,0,0,0,12,0,12,0,0,0,458,0,145,0,0,0,4,458,464.05,603,0,0,1,1,2,2,0,0,4,1796.2,1200.05,3833.9,0,54,0.00036363,0.1632909,0.10909545,0.34853636,0,0.00490909,4,458,464.05,603,0,0,0.00036363,0.04163636,0.04218636,0.05481818,0,0,0,5,31,14,0,4,0,1338.2,736,3230.9,0,54,0,0.12165454,0.06690909,0.29371818,0,0.00490909,0,1,0,1,0,0,0,1000,0,3000,0,0,0,4,31,13,0,4,0,338.2,736,230.9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,726.76,5500,6382.2,7105.05,10286.95,10170.73,0.066069091,0.5,0.5802,0.645913636,0.935177273,0.924611818,0,0,0,0,18,11,30,30,28,30,12,20,0,0,0,0,1,1,726.76,497.75,91.9,0,0,0,19.99889928,1,0.16382629,0,0,0,1,1,0.05000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730.7,11359.32,25,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0
1,57,2,3,2,7.8,80000,7,29725.75,80420.48,11330.79,18394.96,0.2287,0.6188,0,0,0,0,6,0,69,1,-7034.713333,-1.13739456,-4399.236667,-0.1838956,0,0,1,1,0,1,1,0,26377.88,12000,0,19230.74,11301.7,0,26377.88,12000,0,19230.74,11301.7,0,12,12,0,12,12,0,12,12,0,12,12,0,2198,1000,0,1602,941,0,10002.88,9052,10052,8002.74,0,0,6,5,6,6,0,0,22050.32,18049.56,29282.74,16804.44,0,0,0.275629,0.2256195,0.36603425,0.2100555,0,0,10002.88,9052,10052,8002.74,0,0,0.125036,0.11315,0.12565,0.10003425,0,0,6,17,48,45,0,0,12047.44,8997.56,19230.74,8801.7,0,0,0.150593,0.1124695,0.24038425,0.11002125,0,0,5,17,48,45,0,0,12005.08,8997.56,19230.74,8801.7,0,0,1,0,0,0,0,0,42.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,77232.54,79220.97,79258.56,79438.83,79740.75,80420.48,0.96540675,0.990262125,0.990732,0.992985375,0.996759375,1.005256,0,0,0,0,0,0,30,30,28,30,30,30,0,0,0,0,0,0,10767.27,9601.03,19762.33,11427.55,0,0,0.89548228,0.93318436,1.76233174,1.19989898,0,0,0.29097741,0.44447093,1.00004604,0.41117979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18244.96,29575.75,24,6,2,1,150,0.00504613,0.013238265,0.008154408,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0
1,48,0,0,2,6.4,60000,6,22891.32,59711.75,13012.51,7330.37,0.1228,0.3202,0,0,0,0,6,0,96,1,-6347.626667,-1.00408851,-6123.07,-0.2612253,0,0,0,1,1,1,1,0,0,23716.91,9700.87,13382.9,9521,0,0,23716.91,9700.87,13382.9,9521,0,0,12,12,12,12,0,0,12,12,12,12,0,0,1976,808,1115,793,0,11390,8458.91,8637.87,9443.9,0,0,5,5,5,6,0,0,35089,18159.78,22020.77,9443.9,0,0,0.58481666,0.302663,0.36701283,0.15739833,0,0,11390,8458.91,8637.87,9443.9,0,0,0.18983333,0.14098183,0.1439645,0.15739833,0,0,2,4,3,0,0,0,23699,9700.87,13382.9,0,0,0,0.39498333,0.16168116,0.22304833,0,0,0,1,2,3,0,0,0,23699,9673,13382.9,0,0,0,1,2,0,0,0,0,0,27.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,57609.5,53756.46,55047.37,59782.95,59813.87,59711.75,0.960158333,0.895941,0.917456167,0.9963825,0.996897833,0.995195833,0,0,0,0,0,0,30,30,28,30,30,30,0,0,0,0,0,0,28200,8850,9100,0,0,0,2.19552812,0.87821926,0.95083851,0,0,0,1.00126187,0.27182676,0.48450515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7330.37,22891.32,14,16,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
